pid,label,tag,location,location_short,description,scriptorium,scriptorium_metadata,manifest,thumbnail,full
typographical2_f81,"Hymn, 'Consors paterni luminis lux'",Books of the Office,"New York, Columbia University, Rare Book and Manuscript Library,  Typographical MS 2, f. 81r","Typographical MS 2, f. 81r.",N/A,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.4241A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Typographical%20MS%202;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/typographical2_f81/manifest.json,"/img/derivatives/iiif/images/typographical2_f81/full/250,/0/default.jpg","/img/derivatives/iiif/images/typographical2_f81/full/1140,/0/default.jpg"
uts03,Mass Chants for Various Feasts,Books of the Mass,"New York, Columbia University, Burke Library at Union Theological Seminary,  UTS MS 003, f. 129v","UTS MS 003, f. 129v","Melodies for the Gloria, Ite Missa Est, and Benedicamus Domino in a missal from 15th-century Germany.",http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-TH.8305A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=%20UTS%20MS%20003;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/uts03/manifest.json,"/img/derivatives/iiif/images/uts03/full/250,/0/default.jpg","/img/derivatives/iiif/images/uts03/full/1140,/0/default.jpg"
uts03_f135v,Larger Script of the Canon Visible Underneath the Page,The Mass,"New York, Columbia University, Burke Library at Union Theological Seminary,  UTS MS 003, f. 135v","UTS MS 003, f. 135v",A missal from 15th-century Germany with the initial for Trinity Sunday cut away showing the larger script for the Canon of the Mass on the preceding leaf.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-TH.8398A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=UTS%20MS%20003;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/uts03_f135v/manifest.json,"/img/derivatives/iiif/images/uts03_f135v/full/250,/0/default.jpg","/img/derivatives/iiif/images/uts03_f135v/full/1140,/0/default.jpg"
uts19,Beginning of the Temporale with Advent,Organization of Liturgical Books,"New York, Columbia University, Burke Library at Union Theological Seminary,  UTS MS 019, ff. 14v-15r",UTS MS 019. ff. 14v-15,"A collectar from 15th-century Germany with the beginning, on the recto, of a new text section at Advent, 'In adventu domini Dominica prima, ad primas vesperas.'",http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-TH.8320A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=UTS%20MS%20019;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/uts19/manifest.json,"/img/derivatives/iiif/images/uts19/full/250,/0/default.jpg","/img/derivatives/iiif/images/uts19/full/1140,/0/default.jpg"
uts3,Office Combining Proper and Common Chants,Common versus Proper,"New York, Columbia University, Burke Library at Union Theological Seminary, ÃŠUTS MS 003, f. 219r","UTS MS 003, f. 219r","A missal from 15th-century Germany, where the service for Magnus, 'apostle of the Allgäu' (Bavaria, 6 September), is contained partially here in the sanctorale with a note in the rubric on finding the rest of the service, 'Secretum et complenda de comune de confessore non pontifice...' in the common of a confessor, not a bishop.",http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-TH.8315A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=UTS%20MS%20003;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/uts3/manifest.json,"/img/derivatives/iiif/images/uts3/full/250,/0/default.jpg","/img/derivatives/iiif/images/uts3/full/1140,/0/default.jpg"
uts43,Procession of Christmas,Chant Books for the Mass,"New York, Columbia University, Burke Library at Union Theological Seminary,  UTS MS 043, f. 96v-97r","UTS MS 043, f. 96v-97r",The beginning of the procession for Christmas in a processional from 16th-century Germany.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-TH.8326A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=UTS%20MS%20043;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/uts43/manifest.json,"/img/derivatives/iiif/images/uts43/full/250,/0/default.jpg","/img/derivatives/iiif/images/uts43/full/1140,/0/default.jpg"
uts60_ff6v7,Necrology with Names Continually Added,Chapter,"New York, Columbia University, Burke Library at Union Theological Seminary,  UTS MS 060, ff. 6v-7r","UTS MS 060, ff. 6v-7r",A necrology from a nunnery in 15th-century Germany showing the addition of commemorations over a long period.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-TH.8351A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=UTS%20MS%20060;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/uts60_ff6v7/manifest.json,"/img/derivatives/iiif/images/uts60_ff6v7/full/250,/0/default.jpg","/img/derivatives/iiif/images/uts60_ff6v7/full/1140,/0/default.jpg"
west31,Various Authors' Dating of Christ's Passion,Calendar,"New York, Columbia University, Rare Book and Manuscript Library, ÃŠWestern MS 031, p. 406","Western MS 031, p. 406","A computistical and theological compendium copied in the Low Countries ca. 1450-75, with several dates given for Christ's passion, according to Theophilus, according to Jerome, according to Hugh of St. Victor, and according to 'others.'",http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.6263A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Western%20MS%20031;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/west31/manifest.json,"/img/derivatives/iiif/images/west31/full/250,/0/default.jpg","/img/derivatives/iiif/images/west31/full/1140,/0/default.jpg"
western29,Book of the Gospels,Books of the Mass,"New York, Columbia University, Rare Book and Manuscript Library,  Western MS 029, f. 63r","Western MS 029, f. 63r","A Gospel lectionary from Spain, ca. 1577.",http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.8591A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Western%20MS%20029;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/western29/manifest.json,"/img/derivatives/iiif/images/western29/full/250,/0/default.jpg","/img/derivatives/iiif/images/western29/full/1140,/0/default.jpg"
western38_f137,Divisions of the Psalter,Books of the Office,"New York, Columbia University, Rare Book and Manuscript Library,  Western MS 038, ff. 136v-137r","Western MS 038, ff. 136v-137r",Psalm 109 begins the 8th section in the eight-part division of the psalter.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.7848A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Western%20MS%20038;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/western38_f137/manifest.json,"/img/derivatives/iiif/images/western38_f137/full/250,/0/default.jpg","/img/derivatives/iiif/images/western38_f137/full/1140,/0/default.jpg"
western38_ff193,Litany of the Saints,Books of the Office,"New York, Columbia University, Rare Book and Manuscript Library,  Western MS 038, ff. 193v-194r","Western MS 038, ff. 193v-194r", A ferial psalter from fifteenth-century Austria.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.7851A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Western%20MS%20038;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/western38_ff193/manifest.json,"/img/derivatives/iiif/images/western38_ff193/full/250,/0/default.jpg","/img/derivatives/iiif/images/western38_ff193/full/1140,/0/default.jpg"
western49_recto,Psalter with Chant Incipits Added,Books of the Office,"New York, Columbia University, Rare Book and Manuscript Library,  Western MS 049, recto","Western MS 049, recto",A psalter from 12th-century Germany adapted to liturgical use through the addition of antiphons at the bottom of the page.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.5611A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Western%20MS%20049;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/western49_recto/manifest.json,"/img/derivatives/iiif/images/western49_recto/full/250,/0/default.jpg","/img/derivatives/iiif/images/western49_recto/full/1140,/0/default.jpg"
western62,Mass Prayers with Sung Chants Indicated by Smaller Script,Books of the Mass,"New York, Columbia University, Rare Book and Manuscript Library, ÃŠWestern MS 062, f. 2v","Western MS 062, f, 2v",A missal from 15th-century Germany.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.7734A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=Western%20MS%20062;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/western62/manifest.json,"/img/derivatives/iiif/images/western62/full/250,/0/default.jpg","/img/derivatives/iiif/images/western62/full/1140,/0/default.jpg"
x936_C28_f1,Golden Numbers and Dominical Letters,Calendar,"New York, Columbia University, Rare Book and Manuscript Library,  X936.C28, f. 1r","X936.C28, f. 1r","A missal from 15th-century Germany, with the calendar page for January in columns from the left:  the Golden Numbers; the Dominical Letters; the Roman system of kalends, nones and ides; the saints with the more important entries in red (red letter days).",http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.6539A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=X936.C28;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/x936_C28_f1/manifest.json,"/img/derivatives/iiif/images/x936_C28_f1/full/250,/0/default.jpg","/img/derivatives/iiif/images/x936_C28_f1/full/1140,/0/default.jpg"
x936_C28_f7,Page of Liturgical Rubrics in Red Ink,Directions,"New York, Columbia University, Rare Book and Manuscript Library,  X936.C28, f. 7r","X936.C28, f. 7r",A missal from 15th-century Germany.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.7806A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=X936.C28;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/x936_C28_f7/manifest.json,"/img/derivatives/iiif/images/x936_C28_f7/full/250,/0/default.jpg","/img/derivatives/iiif/images/x936_C28_f7/full/1140,/0/default.jpg"
x936c28,Fully Notated Recitational Passages for the Priest,Books of the Mass,"New York, Columbia University, Rare Book and Manuscript Library,  X936.C28, f. 121v","X936.C28, f. 121v",A notated Preface and the Dialogue before the Preface for feasts of the Apostles in a missal from 15th-century Germany.,http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.7808A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=X936.C28;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/x936c28/manifest.json,"/img/derivatives/iiif/images/x936c28/full/250,/0/default.jpg","/img/derivatives/iiif/images/x936c28/full/1140,/0/default.jpg"
x936c28_f214,Alleluia Verses for the Commons of Saints,Chant Books for the Mass,"New York, Columbia University, Rare Book and Manuscript Library, X936.C28, f. 214r","X936.C28, f. 214r","A missal from mid-15th-century Germany with the non-notated Alleluia verses for the hierarchy of saints listed in order (apostles, many martyrs, one martyr, one confessor, virgins).",http://servlet1.lib.berkeley.edu:8080/seadragonwindow/?IIIF=/ds/columbia/tiles/NNC-RBML.6540A_tile.tif/info.json&,http://www.digital-scriptorium.org/xtf3/search?rmode=digscript;smode=basic;text=X936.C28;docsPerPage=1;startDoc=1;fullview=yes,/img/derivatives/iiif/x936c28_f214/manifest.json,"/img/derivatives/iiif/images/x936c28_f214/full/250,/0/default.jpg","/img/derivatives/iiif/images/x936c28_f214/full/1140,/0/default.jpg"
